000000000000000000000000,2011-04-14T06:05:00+09:00,15.2,43,15.0,15.5
000000000000000000000101,2011-04-14T06:06:00+09:00,15.2,43,14.9,15.5
000000000000000000000000,2011-04-14T06:11:00+09:00,15.1,43,14.9,15.5
000000000000000000001001,2011-04-14T06:12:00+09:00,15.1,43,14.9,15.5
000000000000000000000000,2011-04-14T06:17:00+09:00,15.1,43,14.8,15.4
000000000000000000010001,2011-04-14T06:18:00+09:00,15.1,43,14.9,15.4
100000000000000000000000,2011-04-14T06:23:00+09:00,15.0,43,14.8,15.4
000000000000000000000011,2011-04-14T08:00:00+09:00,15.6,47,15.6,15.7
000000000000000000000000,2011-04-14T08:05:00+09:00,15.5,47,15.5,15.7
000000000000000000000101,2011-04-14T08:06:00+09:00,15.5,47,15.6,15.7
000000000000000000000000,2011-04-14T08:11:00+09:00,15.5,47,15.6,15.7
000000000000000000001001,2011-04-14T08:12:00+09:00,15.5,47,15.6,15.7
000000000000000000000000,2011-04-14T08:17:00+09:00,15.4,46,15.5,15.7
000000000000000000010001,2011-04-14T08:18:00+09:00,15.4,46,15.6,15.7
100000000000000000000000,2011-04-14T08:23:00+09:00,15.6,46,15.8,15.7
000000000000000000000011,2011-04-14T10:00:00+09:00,16.2,53,16.3,16.5
000000000000000000000000,2011-04-14T10:05:00+09:00,16.2,52,16.3,16.5
000000000000000000000101,2011-04-14T10:06:00+09:00,16.2,52,16.3,16.5
000000000000000000000000,2011-04-14T10:11:00+09:00,16.2,52,16.4,16.5
000000000000000000001001,2011-04-14T10:12:00+09:00,16.3,52,16.3,16.5
000000000000000000000000,2011-04-14T10:17:00+09:00,16.3,52,16.4,16.6
000000000000000000010001,2011-04-14T10:18:00+09:00,16.3,52,16.5,16.6
100000000000000000000000,2011-04-14T10:23:00+09:00,16.3,51,16.6,16.6
000000000000000000000011,2011-04-14T11:00:00+09:00,16.8,49,16.9,17.0
000000000000000000000000,2011-04-14T11:05:00+09:00,16.8,48,16.9,17.0
000000000000000000000101,2011-04-14T11:06:00+09:00,16.8,49,16.9,17.0
000000000000000000000000,2011-04-14T11:11:00+09:00,16.8,48,17.0,17.1
000000000000000000001001,2011-04-14T11:12:00+09:00,16.8,48,17.2,17.1
000000000000000000000000,2011-04-14T11:17:00+09:00,16.9,48,17.3,17.1
000000000000000000010001,2011-04-14T11:18:00+09:00,16.9,48,17.2,17.1
100000000000000000000000,2011-04-14T11:23:00+09:00,17.1,48,17.3,17.3
000000000000000000000011,2011-04-14T12:00:00+09:00,17.6,46,18.0,17.7
000000000000000000000000,2011-04-14T12:05:00+09:00,17.7,46,18.0,17.9
000000000000000000000101,2011-04-14T12:06:00+09:00,17.7,46,18.1,17.9
000000000000000000000000,2011-04-14T12:11:00+09:00,17.7,46,18.1,17.9
000000000000000000001001,2011-04-14T12:12:00+09:00,17.7,46,18.1,17.9
000000000000000000000000,2011-04-14T12:17:00+09:00,18.1,46,18.3,18.1
000000000000000000010001,2011-04-14T12:18:00+09:00,18.1,46,18.2,18.1
100000000000000000000000,2011-04-14T12:23:00+09:00,18.1,46,18.3,18.1
100000000000100000000000,2011-04-14T13:04:19+09:00,18.9,46,19.2,18.8,step:0,step:1,[17, 17]
100000000001100000000000,2011-04-14T13:05:09+09:00,18.9,46,19.2,18.8
100000000001101000000000,2011-04-14T13:13:20+09:00,19.1,45,19.3,19.0,step:1,step:1,[17, 17]
100000000001111000000000,2011-04-14T13:14:11+09:00,19.1,45,19.3,19.1
000000000001111000000011,2011-04-14T14:00:00+09:00,20.1,44,20.2,20.0
000000000001111000000000,2011-04-14T14:05:00+09:00,20.1,44,20.3,20.1
000000000001111000000101,2011-04-14T14:06:00+09:00,20.2,44,20.3,20.1
000000000001111000000000,2011-04-14T14:11:00+09:00,20.3,44,20.5,20.2
000000000001111000001001,2011-04-14T14:12:00+09:00,20.3,44,20.5,20.2
000000000001111000000000,2011-04-14T14:17:00+09:00,20.4,44,20.7,20.3
000000000001111000010001,2011-04-14T14:18:00+09:00,20.4,44,20.7,20.3
100000000001111000000000,2011-04-14T14:23:00+09:00,20.5,43,20.7,20.4
000000000000000000000011,2011-04-14T16:00:00+09:00,22.5,42,22.7,22.4,step:0,step:0,[23, 23]
000000000000000000000000,2011-04-14T16:05:00+09:00,22.5,42,22.7,22.5
000000000000000000000101,2011-04-14T16:05:59+09:00,22.5,42,22.7,22.6
000000000000000000000000,2011-04-14T16:11:00+09:00,22.6,41,22.9,22.6
000000000000000000001001,2011-04-14T16:12:00+09:00,22.6,41,22.8,22.6
000000000000000000000000,2011-04-14T16:17:00+09:00,22.7,41,23.0,22.7
000000000000000000010001,2011-04-14T16:18:00+09:00,22.8,41,22.9,22.7
100000000000000000000000,2011-04-14T16:23:00+09:00,22.8,40,23.0,22.8
000000000000000000000011,2011-04-15T06:00:00+09:00,17.7,43,17.6,18.2
000000000000000000000000,2011-04-15T06:05:00+09:00,17.7,43,17.6,18.2
000000000000000000000101,2011-04-15T06:06:00+09:00,17.7,43,17.7,18.2
000000000000000000000000,2011-04-15T06:11:00+09:00,17.7,44,18.0,18.2
000000000000000000001001,2011-04-15T06:12:00+09:00,17.7,44,17.9,18.2
000000000000000000000000,2011-04-15T06:17:00+09:00,17.7,43,17.6,18.2
000000000000000000010001,2011-04-15T06:18:00+09:00,17.7,43,17.6,18.2
100000000000000000000000,2011-04-15T06:23:00+09:00,17.7,43,17.6,18.2
000000000000000000000011,2011-04-15T08:00:00+09:00,18.8,49,18.9,18.8
000000000000000000000000,2011-04-15T08:05:00+09:00,18.9,48,19.0,18.8
000000000000000000000101,2011-04-15T08:06:00+09:00,18.9,48,19.0,18.8
000000000000000000000000,2011-04-15T08:11:00+09:00,18.9,47,19.0,19.0
000000000000000000001001,2011-04-15T08:12:00+09:00,18.9,47,19.0,19.0
000000000000000000000000,2011-04-15T08:17:00+09:00,18.9,47,19.0,19.0
000000000000000000010001,2011-04-15T08:18:00+09:00,18.9,47,19.0,19.0
100000000000000000000000,2011-04-15T08:23:00+09:00,18.8,47,18.8,19.0
000000000000100000000011,2011-04-15T10:00:00+09:00,19.0,48,19.1,19.1,step:0,step:1,[17, 17]
000000000001100000000011,2011-04-15T10:00:50+09:00,19.0,49,19.0,19.1
000000000001100000000000,2011-04-15T10:05:00+09:00,19.0,49,19.0,19.1
000000000001100000000101,2011-04-15T10:06:00+09:00,19.0,49,19.0,19.1
000000000001100000000000,2011-04-15T10:11:00+09:00,19.0,49,19.1,19.1
000000000001101000000000,2011-04-15T10:11:40+09:00,19.1,49,19.1,19.1,step:1,step:1,[17, 17]
000000000001101000001001,2011-04-15T10:12:00+09:00,19.1,49,19.1,19.1
000000000001111000001001,2011-04-15T10:12:30+09:00,19.1,49,19.1,19.1
000000000001111000000000,2011-04-15T10:17:00+09:00,19.2,49,19.2,19.2
000000000001111000010001,2011-04-15T10:18:00+09:00,19.2,49,19.2,19.2
100000000001111000000000,2011-04-15T10:23:00+09:00,19.2,49,19.3,19.2
000000000001111000000011,2011-04-15T11:00:00+09:00,19.6,48,19.8,19.7
000000000001111000000000,2011-04-15T11:05:00+09:00,19.6,47,19.8,19.7
000000000001111000000101,2011-04-15T11:06:01+09:00,19.6,47,19.8,19.7
000000000001111000000000,2011-04-15T11:11:00+09:00,19.6,47,19.8,19.8
000000000001111000001001,2011-04-15T11:12:00+09:00,19.7,47,19.9,19.8
000000000001111000000000,2011-04-15T11:17:00+09:00,19.7,47,19.9,19.8
000000000001111000010001,2011-04-15T11:18:00+09:00,19.7,47,19.9,19.8
100000000001111000000000,2011-04-15T11:23:00+09:00,19.8,47,20.1,20.0
000000000001111000000011,2011-04-15T12:00:00+09:00,20.2,46,20.3,20.3
000000000001111000000000,2011-04-15T12:05:00+09:00,20.3,46,20.5,20.3
000000000001111000000101,2011-04-15T12:06:00+09:00,20.3,46,20.4,20.4
000000000001111000000000,2011-04-15T12:11:00+09:00,20.3,46,20.5,20.4
000000000001111000001001,2011-04-15T12:12:00+09:00,20.3,46,20.5,20.4
000000000001111000000000,2011-04-15T12:17:00+09:00,20.3,46,20.5,20.5
000000000001111000010001,2011-04-15T12:18:00+09:00,20.3,46,20.7,20.5
100000000001111000000000,2011-04-15T12:23:00+09:00,20.4,46,20.7,20.5
100000000000111000000000,2011-04-15T12:55:51+09:00,20.8,45,21.1,21.0,step:1,step:2,[17, 17]
100000000001111000000000,2011-04-15T12:56:41+09:00,20.8,45,21.1,21.0
100000000001101000000000,2011-04-15T13:30:23+09:00,21.1,45,21.3,21.3,step:2,step:2,[17, 17]
100000000001111000000000,2011-04-15T13:31:13+09:00,21.1,45,21.3,21.3
000000000001111000000011,2011-04-15T14:00:00+09:00,21.2,46,21.4,21.5
