Start,2010-10-10T20:08:15+09:00
000000000000101000000000,2010-10-10T20:08:15+09:00,25.3,62,24.5,23.7
000000000000100000000000,2010-10-10T20:08:39+09:00,25.3,62,24.5,23.7
000000000000110000000000,2010-10-10T20:08:42+09:00,25.3,62,24.5,23.7
000000000000100000000000,2010-10-10T20:08:58+09:00,25.3,62,24.5,23.7
000000000000110000000000,2010-10-10T20:09:01+09:00,25.3,62,24.5,23.7
000000000000100000000000,2010-10-10T20:09:17+09:00,25.3,62,24.5,23.7
000000000000110000000000,2010-10-10T20:09:20+09:00,25.3,62,24.5,23.7
000000000000100000000000,2010-10-10T20:09:36+09:00,25.3,62,24.5,23.7
Start,2010-10-10T20:10:38+09:00
000000000000101000000000,2010-10-10T20:10:38+09:00,25.3,62,24.4,23.7
000000000000100000100011,2010-10-10T20:42:00+09:00,25.0,63,24.2,23.4
000000000000100000000000,2010-10-10T20:42:05+09:00,25.0,63,24.2,23.4
000000000000100001000101,2010-10-10T20:42:10+09:00,25.0,63,24.2,23.4
000000000000100000000000,2010-10-10T20:42:15+09:00,25.0,63,24.2,23.4
000000000000100010001001,2010-10-10T20:42:20+09:00,25.0,63,24.2,23.4
000000000000100000000000,2010-10-10T20:42:25+09:00,25.0,63,24.2,23.4
000000000000100100010001,2010-10-10T20:42:30+09:00,25.0,63,24.2,23.4
000000000000100000000000,2010-10-10T20:42:35+09:00,25.0,63,24.2,23.4
000000000000101000000000,2010-10-10T21:00:00+09:00,24.7,63,23.9,23.3
000000000000111000000000,2010-10-10T21:00:05+09:00,24.7,63,23.9,23.3
000000000000101000000000,2010-10-10T21:00:21+09:00,24.7,64,23.9,23.3
000000000000111000000000,2010-10-10T21:00:26+09:00,24.7,64,23.9,23.3
000000000000101000000000,2010-10-10T21:00:43+09:00,24.7,64,23.9,23.2
000000000000111000000000,2010-10-10T21:00:48+09:00,24.7,64,23.9,23.2
000000000000101000000000,2010-10-10T21:01:04+09:00,24.7,64,23.9,23.2
000000000000100000000000,2010-10-10T23:00:00+09:00,23.5,65,22.9,22.0
000000000000110000000000,2010-10-10T23:00:03+09:00,23.5,65,22.9,22.0
000000000000100000000000,2010-10-10T23:00:19+09:00,23.5,65,22.9,22.0
000000000000110000000000,2010-10-10T23:00:22+09:00,23.5,65,23.0,22.0
000000000000100000000000,2010-10-10T23:00:38+09:00,23.5,65,23.0,22.0
000000000000110000000000,2010-10-10T23:00:41+09:00,23.5,65,23.0,22.0
000000000000100000000000,2010-10-10T23:00:57+09:00,23.4,65,23.0,22.0
Start,2010-10-11T09:47:55+09:00
000000000000101000000000,2010-10-11T09:47:56+09:00,23.3,66,22.8,21.8
Start,2010-10-11T09:58:42+09:00
001010000000000000000000,2010-10-11T09:58:42+09:00,23.3,66,22.8,21.8
